host,name,original_counties,observed_local_items,observed_total_items,status,reason
agrilifetoday.tamu.edu,AgriLife Today,texas/mason;texas/brazos,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wxhc.com,WXHC,new-york/cortland,4,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
allhiphop.com,AllHipHop,ohio/butler;mississippi/hinds,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
arstechnica.com,Ars Technica,missouri/jackson;wyoming/laramie,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
aspendailynews.com,Aspen Daily News,colorado/pitkin;virginia/gloucester,3,15,held,HTTP 403
bizwest.com,BizWest,colorado/larimer;colorado/weld,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
bnonews.com,BNO News,virginia/waynesboro;new-jersey/mercer,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
bigfrog104.com,Big Frog 104,new-york/saratoga;new-york/seneca,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
broadwayworld.com,BroadwayWorld,vermont/addison;pennsylvania/bucks,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
badgerherald.com,The Badger Herald,wisconsin/dane;wisconsin/winnebago,2,10,approved,"University of Wisconsin-Madison independent student newspaper, Dane County. Exclude the Winnebago observation."
bbc.co.uk,BBC,tennessee/jackson;texas/kerr,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cascadiadaily.com,Cascadia Daily News,washington/skagit;washington/whatcom,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
centraljersey.com,Central Jersey,pennsylvania/somerset;ohio/shelby,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cntraveler.com,Cond&#233; Nast Traveler,california/mono;california/plumas,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
businessobserverfl.com,Business Observer,florida/pinellas;florida/sarasota,5,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
coloradosun.com,The Colorado Sun,colorado/cheyenne;colorado/grand,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cbs42.com,CBS 42,alabama/clay;alabama/lee,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
clintoncountydailynews.com,clintoncountydailynews,kentucky/clark;indiana/clinton,2,15,approved,"Frankfort, Indiana newsroom/radio site covering Clinton County; exclude the Kentucky observation."
coastalreview.org,Coastal Review Online,north-carolina/camden;north-carolina/pasquotank,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cryptopolitan.com,Cryptopolitan,georgia/cobb;georgia/marion,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
collegian.com,The Rocky Mountain Collegian,colorado/weld;colorado/larimer,3,10,approved,"Colorado State University student newspaper in Fort Collins, Larimer County, Colorado."
cw39.com,CW39 Houston,texas/hardin;texas/jack,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
denver7.com,Denver7,colorado/adams;colorado/jefferson,0,3,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
dailyiowan.com,The Daily Iowan,iowa/johnson;iowa/washington,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
defensenews.com,Defense News,tennessee/hickman;virginia/orange,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fox29.com,FOX 29 News Philadelphia,pennsylvania/centre;new-jersey/atlantic,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fastcompany.com,Fast Company,oregon/deschutes;texas/pecos,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fox9.com,FOX 9 Minneapolis-St. Paul,minnesota/meeker;minnesota/anoka,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
floridatrend.com,Florida Trend,florida/taylor;florida/baker,0,4,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
freebeacon.com,freebeacon,new-jersey/passaic;oregon/multnomah,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
hechingerreport.org,The Hechinger Report,mississippi/issaquena;mississippi/oktibbeha,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
henricocitizen.com,Henrico Citizen,virginia/henrico;virginia/staunton,3,15,approved,"Publisher explicitly identifies Henrico County, Virginia; same-name/city observations are excluded."
ft.com,The Financial Times,north-dakota/billings;florida/charlotte,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
gephardtdaily.com,Gephardt Daily,utah/sevier;utah/weber,1,14,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
highlandcountypress.com,The Highland County Press,ohio/highland;ohio/scioto,2,10,approved,"Hillsboro, Ohio newspaper; Highland County approved. Scioto search observation does not establish a separate county directory relationship."
heraldstaronline.com,The Herald Star,ohio/jefferson;west-virginia/hancock,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
hightimes.com,High Times,florida/leon;maine/franklin,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
hudsonvalleyone.com,Hudson Valley One,new-york/ulster;new-york/dutchess,4,15,approved,"Ulster Publishing newsroom and its Kingston, New Paltz and Woodstock coverage support Ulster County. Dutchess observation held without equivalent evidence."
hoosieragtoday.com,Hoosier Ag Today,indiana/spencer;indiana/whitley,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
inc.com,Inc.,oregon/morrow;kentucky/mercer,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
justthenews.com,Just The News,arkansas/arkansas;minnesota/hennepin,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ibtimes.com,International Business Times,kansas/wallace;illinois/dupage,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
insideevs.com,Inside EVs,kentucky/warren;california/placer,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
k105.com,K105,kentucky/grayson;kentucky/perry,7,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
hometownstations.com,Hometownstations,ohio/allen;ohio/hancock,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
khon2.com,KHON2,hawaii/maui;hawaii/hawaii,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kiwaradio.com,KIWA Radio,iowa/sioux;iowa/lyon,3,10,approved,"Publisher identifies Sioux County Daily, Lyon County Daily and Osceola County Daily as its local coverage partners."
kpax.com,KPAX News,montana/lake;montana/missoula,2,3,approved,"Publisher has explicit Missoula, Flathead and Ravalli desks, plus current Polson reporting in Lake County, Montana."
lgbtqnation.com,LGBTQ Nation,georgia/white;idaho/canyon,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kotaradio.com,KOTA Radio,south-dakota/meade;south-dakota/union,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
localsyr.com,Localsyr,new-york/onondaga;new-york/seneca,7,15,held,HTTP 403
dailytidings.com,Ashland Daily Tidings,oregon/washington;oregon/morrow,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
marinelink.com,MarineLink,washington/wahkiakum;virginia/virginia-beach,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
lpm.org,Louisville Public Media,kentucky/bourbon;kentucky/oldham,1,12,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
kjct8.com,KJCT8,colorado/montrose;ohio/adams,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
memphisflyer.com,Memphis Flyer,tennessee/shelby;tennessee/fayette,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
metro.co.uk,Metro,new-hampshire/grafton;florida/walton,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ksnblocal4.com,KSNB Local4,kansas/republic;nebraska/lancaster,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
montanafreepress.org,Montana Free Press,montana/yellowstone;montana/missoula,2,8,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
milanmirrorexchange.com,Milan Mirror Exchange,tennessee/dyer;tennessee/gibson,3,10,approved,"Current masthead is Gibson County News. Preserve the historical Milan Mirror-Exchange name as an alias; scope to Gibson County, Tennessee."
mychamplainvalley.com,Mychamplainvalley,vermont/chittenden;new-york/clinton,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
live5news.com,Live 5 News,georgia/hancock;south-carolina/dorchester,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
militarytimes.com,Military Times,ohio/pickaway;washington/thurston,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
nbclosangeles.com,NBC Los Angeles,california/mendocino;california/ventura,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
nsjonline.com,The North State Journal,north-carolina/scotland;north-carolina/durham,4,10,held,"Statewide outlet, not a county-native publisher; held for broader scope review."
nj1015.com,New Jersey 101.5,new-jersey/warren;new-jersey/cape-may,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
orlandoweekly.com,Orlando Weekly,florida/volusia;florida/lake,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
paloaltoonline.com,Palo Alto Online,california/san-mateo;california/santa-clara,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
nripulse.com,NRI Pulse,georgia/forsyth;georgia/gwinnett,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
plantservices.com,Plant Services,north-carolina/catawba;georgia/hall,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
mysuncoast.com,Mysuncoast,florida/manatee;florida/charlotte,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
popularmechanics.com,Popular Mechanics,wisconsin/marinette;arkansas/van-buren,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
sciencedaily.com,Science Daily,florida/okeechobee;new-mexico/sierra,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
ntd.com,NTD News,california/mariposa;tennessee/shelby,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
potomaclocal.com,Potomac Local News,virginia/stafford;virginia/manassas,1,10,approved,"Publisher explicitly limits its local reporting to Prince William and Stafford counties and Manassas, Fredericksburg and Manassas Park cities."
sciotopost.com,Scioto Post,ohio/pickaway;ohio/ross,7,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
runnersworld.com,Runner's World,colorado/san-juan;colorado/lake,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
roanoke-chowannewsherald.com,The Roanoke-Chowan News-Herald,north-carolina/gates;north-carolina/hertford,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
signalscv.com,SignalSCV,texas/williamson;california/los-angeles,5,15,held,Robots unavailable: HTTP 403
siliconprairienews.com,Silicon Prairie News,nebraska/sarpy;nebraska/thayer,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
securityinfowatch.com,Security Info Watch,california/sonoma;mississippi/tunica,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
starherald.net,The Star-Herald,mississippi/attala;mississippi/choctaw,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
techcrunch.com,TechCrunch,california/solano;texas/grimes,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
thebaynet.com,The BayNet,maryland/calvert;maryland/charles,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
therealnews.com,The Real News Network,maryland/howard;utah/morgan,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
techtimes.com,techtimes,kentucky/mccracken;indiana/tippecanoe,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
siouxcountyradio.com,Sioux County Radio,iowa/sioux;iowa/des-moines,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
timesenterprise.com,Thomasville Times-Enterprise,georgia/thomas;georgia/camden,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
theverge.com,The Verge,texas/pecos;virginia/loudoun,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
supertalk.fm,SuperTalk Mississippi,mississippi/neshoba;mississippi/humphreys,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tiffinohio.net,Tiffinohio,ohio/seneca;ohio/sandusky,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
torontosun.com,Toronto Sun,texas/hemphill;ohio/medina,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
trtworld.com,TRT World,texas/maverick;montana/flathead,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
vermontbiz.com,Vermont Business Magazine,vermont/addison;vermont/franklin,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
washingtonblade.com,Washington Blade,maryland/baltimore;virginia/winchester,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
tillamookcountypioneer.net,Tillamook County Pioneer,oregon/clatsop;oregon/tillamook,4,10,approved,"Publisher explicitly identifies Tillamook County, Oregon. Clatsop observation is not sufficient for directory approval."
virginiamercury.com,Virginia Mercury,virginia/franklin;virginia/manassas,2,15,approved,"State-focused newsroom identified by the States Newsroom network directory and verified on the publisher website. Listed as a statewide supplement, not as a county-based newsroom."
weareiowa.com,We Are Iowa,iowa/wapello;iowa/poweshiek,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wgno.com,WGNO,mississippi/wilkinson;louisiana/orleans,7,15,held,HTTP 403
wdtv.com,WDTV,west-virginia/mason;west-virginia/upshur,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wect.com,WECT TV6,north-carolina/brunswick;north-carolina/new-hanover,2,15,approved,"Publisher explicitly identifies New Hanover, Brunswick, Pender, Bladen and Columbus counties in its service-area description."
whitehouse.gov,The White House,district-of-columbia/district-of-columbia;texas/maverick,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
watfordcitynd.com,McKenzie County Farmer,north-dakota/mckenzie;north-dakota/oliver,3,15,approved,"Publisher explicitly identifies Watford City and McKenzie County, North Dakota; erroneous additional counties are excluded."
telanganatoday.com,Telangana Today,north-carolina/caswell;california/orange,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wave3.com,WAVE3,indiana/owen;kentucky/henry,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
who13.com,WHO13,iowa/polk;iowa/calhoun,3,11,held,HTTP 403
wcjb.com,WCJB TV20,florida/marion;georgia/marion,2,15,approved,"Publisher explicitly covers Gainesville, Ocala and Lake City, mapped to Alachua, Marion and Columbia counties, Florida. Exclude the Georgia namesake."
wmdt.com,WMDT,maryland/somerset;maryland/worcester,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wnyt.com,Wnyt,new-york/rensselaer;vermont/washington,3,15,approved,"Publisher explicitly names Albany, Troy, Schenectady and Saratoga Springs in its Capital Region service area."
wpr.org,Wisconsin Public Radio,wisconsin/rock;wisconsin/la-crosse,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
whsv.com,WHSV,virginia/rockingham;virginia/harrisonburg,1,15,approved,"Publisher explicitly names Harrisonburg, Staunton and Waynesboro and covers Rockingham County in the Shenandoah Valley."
wrtv.com,WRTV,indiana/allen;indiana/elkhart,0,3,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wsav.com,WSAV-TV,south-carolina/hampton;south-carolina/beaufort,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wrbiradio.com,WRBI Radio,indiana/switzerland;kentucky/clay,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
yellowhammernews.com,Yellowhammer News,georgia/cherokee;alabama/cherokee,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wilx.com,WILX,michigan/livingston;michigan/clare,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
yourerie.com,YourErie,pennsylvania/warren;ohio/crawford,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
wtap.com,WTAP,ohio/washington;south-carolina/chesterfield,1,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
wtvy.com,WTVY,alabama/henry;alabama/houston,3,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
